"","state_name","STATECD","east","west","midwest","paleon","east_plus"
"1","Alabama",1,1,0,0,0,1
"2","Alaska",2,0,1,0,0,0
"3","Arizona",4,0,1,0,0,0
"4","Arkansas",5,0,1,0,0,1
"5","California",6,0,1,0,0,0
"6","Colorado",8,0,1,0,0,0
"7","Connecticut",9,1,0,0,1,1
"8","Deleware",10,1,0,0,0,1
"9","District of Columbia",11,1,0,0,0,1
"10","Florida",12,1,0,0,0,1
"11","Georgia",13,1,0,0,0,1
"12","Hawaii",15,0,0,0,0,0
"13","Idaho",16,0,1,0,0,0
"14","Illinois",17,1,0,1,1,1
"15","Indiana",18,1,0,1,1,1
"16","Iowa",19,0,1,1,0,1
"17","Kansas",20,0,1,1,0,0
"18","Kentucky",21,1,0,0,0,1
"19","Louisiana",22,0,1,0,0,1
"20","Maine",23,1,0,0,1,1
"21","Maryland",24,1,0,0,0,1
"22","Massachusetts",25,1,0,0,1,1
"23","Michigan",26,1,0,1,1,1
"24","Minnesota",27,0,1,1,1,1
"25","Mississippi",28,1,0,0,0,1
"26","Missouri",29,0,1,1,0,1
"27","Montana",30,0,1,0,0,0
"28","Nebraska",31,0,1,1,0,0
"29","Nevada",32,0,1,0,0,0
"30","New Hampshire",33,1,0,0,1,1
"31","New Jersey",34,1,0,0,1,1
"32","New Mexico",35,0,1,0,0,0
"33","New York",36,1,0,0,1,1
"34","North Carolina",37,1,0,0,0,1
"35","North Dakota",38,0,1,1,0,0
"36","Ohio",39,1,0,1,1,1
"37","Oklahoma",40,0,1,0,0,0
"38","Oregon",41,0,1,0,0,0
"39","Pennsylvania",42,1,0,0,1,1
"40","Rhode Island",44,1,0,0,1,1
"41","South Carolina",45,1,0,0,0,1
"42","South Dakota",46,0,1,1,0,0
"43","Tennessee",47,1,0,0,0,1
"44","Texas",48,0,1,0,0,0
"45","Utah",49,0,1,0,0,0
"46","Vermont",50,1,0,0,1,1
"47","Virginia",51,1,0,0,0,1
"48","Washington",53,0,1,0,0,0
"49","West Virginia",54,1,0,0,0,1
"50","Wisconsin",55,1,0,1,1,1
"51","Wyoming",56,0,1,0,0,0
